30 158
0 4 21
0 6 8
0 12 16
0 13 35
0 14 1
0 16 27
0 22 49
0 23 35
0 24 46
0 28 29
1 3 3
1 4 49
1 6 20
1 8 23
1 9 23
1 10 26
1 11 42
1 15 47
1 17 30
1 19 46
1 23 40
1 27 48
2 7 12
2 14 28
2 15 24
2 16 42
2 20 37
2 21 7
2 23 1
2 25 42
2 26 43
2 29 27
3 4 25
3 11 19
3 14 11
3 19 8
3 22 11
3 25 30
3 29 21
4 5 1
4 7 16
4 9 40
4 14 37
4 15 35
4 16 30
4 19 18
4 21 24
4 25 23
4 27 26
4 28 11
5 10 48
5 12 5
5 13 20
5 14 25
5 18 35
5 20 2
5 21 47
5 22 17
5 23 17
5 28 5
6 8 23
6 10 11
6 17 30
6 18 48
6 19 34
6 22 40
6 23 17
6 24 40
6 25 15
6 27 24
6 28 44
7 8 7
7 13 5
7 15 11
7 17 22
7 18 35
7 23 40
7 24 21
7 27 23
7 28 21
8 9 9
8 14 7
8 15 8
8 17 39
8 19 23
8 22 11
8 27 27
8 29 27
9 13 42
9 14 6
9 15 27
9 20 25
9 26 33
10 11 3
10 14 21
10 18 31
10 25 32
11 13 13
11 15 37
11 16 42
11 19 42
11 24 41
11 27 5
11 29 21
12 13 23
12 14 3
12 18 5
12 22 12
12 23 8
12 24 34
12 28 29
12 29 22
13 17 2
13 18 24
13 19 8
13 20 28
14 18 37
14 22 15
14 24 40
14 29 7
15 16 23
15 17 47
15 19 37
15 21 31
15 23 5
15 24 50
15 29 19
16 18 20
16 19 26
16 22 24
16 23 47
16 24 46
16 26 21
16 29 31
17 18 50
17 22 36
17 28 27
18 19 41
18 24 24
18 25 40
19 20 28
19 22 9
19 23 47
19 24 21
19 25 47
20 25 9
20 29 50
21 22 3
22 26 45
23 25 11
23 26 2
23 27 45
23 28 20
24 27 18
25 28 35
25 29 46
26 27 30
27 28 8
