320 6407
0 10 28
0 46 7
0 48 49
0 72 27
0 77 29
0 79 42
0 88 40
0 94 43
0 124 22
0 137 43
0 146 18
0 148 41
0 151 37
0 171 36
0 173 13
0 188 46
0 199 46
0 205 42
0 218 35
0 221 24
0 257 18
0 261 11
0 279 43
0 301 37
1 15 2
1 28 7
1 36 21
1 93 7
1 112 8
1 123 15
1 128 38
1 138 13
1 144 41
1 147 3
1 153 38
1 163 24
1 168 3
1 229 21
1 237 24
1 240 24
1 247 12
1 289 33
1 290 10
1 311 45
1 317 29
2 34 39
2 58 13
2 59 49
2 97 25
2 102 48
2 121 18
2 125 13
2 130 25
2 141 46
2 163 40
2 178 21
2 202 17
2 207 24
2 222 29
2 258 11
2 278 41
2 281 24
2 283 17
2 284 22
2 287 16
2 302 5
2 305 21
3 10 27
3 30 39
3 37 21
3 52 50
3 116 28
3 125 24
3 147 12
3 161 19
3 163 32
3 166 36
3 173 4
3 182 40
3 188 29
3 192 37
3 197 26
3 210 43
3 224 7
3 227 27
3 229 16
3 243 16
3 248 1
3 255 14
3 256 21
3 262 43
3 266 39
3 278 15
4 2 22
4 7 18
4 39 1
4 40 21
4 53 4
4 61 19
4 67 11
4 69 24
4 77 45
4 94 8
4 96 44
4 100 16
4 141 50
4 145 47
4 167 6
4 172 6
4 178 29
4 217 37
4 229 42
4 237 34
4 270 46
4 298 44
5 13 26
5 27 40
5 45 44
5 88 29
5 92 4
5 98 4
5 99 43
5 110 48
5 129 36
5 161 37
5 190 13
5 202 18
5 210 24
5 215 34
5 245 34
5 288 6
5 292 19
5 317 6
6 30 32
6 31 3
6 34 27
6 36 46
6 40 39
6 45 29
6 55 19
6 58 45
6 67 13
6 94 12
6 103 21
6 125 43
6 136 13
6 211 17
6 217 27
6 225 9
6 313 15
7 19 11
7 24 1
7 58 15
7 59 1
7 72 1
7 88 10
7 101 50
7 157 20
7 203 43
7 204 43
7 213 20
7 215 27
7 216 32
7 221 24
7 222 7
7 239 28
7 252 3
7 259 35
7 277 25
7 303 23
8 1 32
8 10 19
8 25 39
8 31 8
8 69 28
8 86 5
8 105 41
8 114 27
8 136 47
8 164 37
8 186 41
8 273 36
8 277 43
9 41 23
9 49 32
9 55 44
9 60 22
9 83 11
9 105 42
9 109 34
9 111 21
9 116 21
9 128 15
9 129 21
9 158 16
9 161 17
9 169 36
9 213 41
9 225 29
9 241 16
9 260 26
9 284 36
9 288 24
9 317 24
10 36 30
10 67 37
10 80 10
10 111 42
10 113 44
10 148 15
