90 2005
0 1 34
0 2 15
0 3 3
0 5 49
0 6 19
0 9 16
0 10 19
0 11 42
0 12 48
0 15 4
0 21 13
0 24 42
0 25 22
0 26 2
0 32 42
0 34 29
0 35 4
0 36 41
0 39 7
0 41 2
0 45 14
0 46 13
0 47 5
0 48 15
0 49 37
0 50 29
0 51 21
0 52 29
0 55 49
0 57 26
0 58 17
0 60 21
0 62 38
0 63 39
0 66 47
0 68 17
0 69 14
0 71 17
0 72 10
0 74 22
0 77 21
0 79 47
0 80 36
0 81 2
0 82 26
0 83 3
0 84 41
0 87 13
1 2 3
1 4 14
1 6 22
1 7 3
1 13 29
1 14 12
1 16 28
1 17 35
1 18 26
1 19 44
1 20 37
1 21 24
1 23 1
1 29 21
1 31 33
1 34 27
1 37 15
1 38 9
1 41 43
1 42 33
1 45 4
1 46 29
1 47 28
1 50 29
1 57 35
1 61 11
1 63 31
1 64 7
1 67 33
1 74 40
1 78 27
1 79 34
1 80 50
1 81 27
1 83 39
1 85 13
1 86 48
1 87 2
1 89 36
2 3 48
2 4 24
2 8 42
2 9 46
2 12 33
2 13 18
2 15 31
2 16 48
2 18 21
2 19 47
2 20 38
2 21 46
2 22 28
2 23 35
2 27 34
2 29 13
2 33 6
2 35 19
2 36 49
2 40 7
2 42 42
2 43 29
2 44 4
2 46 6
2 48 24
2 50 35
2 51 29
2 53 5
2 55 4
2 57 38
2 58 22
2 60 45
2 64 25
2 65 44
2 67 40
2 68 31
2 69 11
2 72 8
2 73 26
2 75 11
2 76 30
2 77 32
2 80 16
2 84 12
2 85 4
2 86 4
2 87 9
3 7 28
3 8 15
3 9 17
3 10 3
3 12 45
3 13 30
3 15 4
3 18 44
3 20 15
3 21 40
3 23 8
3 24 27
3 25 8
3 29 29
3 31 13
3 38 11
3 41 17
3 42 20
3 44 41
3 45 46
3 46 2
3 47 30
3 49 33
3 50 14
3 52 15
3 59 49
3 60 35
3 62 39
3 64 6
3 67 5
3 69 2
3 70 10
3 77 29
