500 6117
0 3 24
0 9 30
0 36 31
0 139 46
0 155 2
0 160 13
0 206 34
0 220 25
0 246 22
0 268 41
0 299 18
0 313 50
0 407 50
0 431 45
0 442 25
0 452 35
0 485 16
1 47 25
1 66 13
1 89 12
1 128 44
1 217 20
1 241 24
1 326 11
1 384 47
1 459 13
2 35 40
2 86 3
2 108 35
2 178 27
2 217 13
2 252 35
2 296 10
2 343 41
2 373 42
2 432 14
2 448 24
2 493 9
3 30 10
3 53 25
3 61 32
3 66 5
3 165 8
3 281 45
3 340 45
3 351 9
3 434 40
3 436 15
3 444 9
4 6 11
4 36 14
4 84 30
4 112 3
4 117 20
4 142 8
4 164 10
4 217 27
4 342 30
4 428 8
5 29 40
5 60 26
5 92 19
5 130 36
5 140 37
5 317 40
5 320 17
5 339 8
5 393 32
5 415 24
5 453 20
5 456 16
6 63 12
6 113 40
6 145 7
6 193 9
6 199 20
6 224 31
6 230 23
6 327 14
6 344 41
6 375 29
6 437 50
6 467 37
7 34 8
7 56 42
7 70 4
7 101 38
7 215 30
7 283 22
7 308 29
7 380 32
7 384 42
7 487 20
8 11 15
8 26 45
8 31 10
8 40 49
8 59 43
8 161 44
8 276 34
8 302 26
8 314 35
8 327 10
8 355 38
8 416 4
8 419 28
8 452 25
8 490 37
9 3 3
9 50 3
9 102 25
9 106 32
9 203 8
9 208 32
9 226 15
9 251 38
9 279 33
9 287 12
9 409 33
9 431 39
10 8 7
10 33 49
10 187 35
10 196 21
10 205 11
10 269 42
10 293 28
10 349 46
10 363 32
10 402 41
10 411 10
10 498 35
11 76 11
11 149 44
11 237 31
11 244 39
11 305 40
11 316 30
11 371 11
11 391 28
12 29 16
12 81 29
12 86 43
12 126 44
12 136 42
12 258 44
12 269 49
12 329 6
12 341 10
12 364 2
12 430 14
13 1 31
13 10 49
13 18 43
13 34 25
13 43 19
13 127 5
13 153 30
13 209 49
13 462 25
13 495 17
14 55 33
14 82 6
14 87 15
14 108 48
14 131 1
14 159 3
14 163 26
14 202 36
14 250 27
14 325 35
14 399 4
14 474 21
14 489 16
15 35 35
15 39 25
15 41 1
15 194 21
15 199 36
15 219 31
15 233 31
15 267 50
15 270 26
15 299 23
15 308 20
15 331 7
15 397 45
15 444 46
15 452 21
15 461 15
15 481 10
16 3 44
16 15 16
16 57 7
16 126 15
16 199 30
